Resistance,Voltage,Current,Power
9999,0.535,5.35054E-05,2.86254E-05
1999,0.534,0.000267134,0.000142649
999,0.533,0.000533534,0.000284373
899,0.532,0.000591769,0.000314821
699,0.531,0.000759657,0.000403378
499,0.53,0.001062124,0.000562926
399,0.528,0.001323308,0.000698707
299,0.526,0.001759197,0.000925338
199,0.52,0.002613065,0.001358794
99,0.5,0.005050505,0.002525253
89,0.494,0.005550562,0.002741978
79,0.487,0.006164557,0.003002139
69,0.477,0.006913043,0.003297522
59,0.461,0.007813559,0.003602051
49,0.435,0.008877551,0.003861735
39,0.389,0.009974359,0.003880026
29,0.315,0.010862069,0.003421552
19,0.216,0.011368421,0.002455579
9,0.105,0.011666667,0.001225
8,0.094,0.01175,0.0011045
7,0.083,0.011857143,0.000984143
6,0.071,0.011833333,0.000840167
5,0.06,0.012,0.00072
4,0.049,0.01225,0.00060025
3,0.038,0.012666667,0.000481333
2,0.026,0.013,0.000338
1,0.015,0.015,0.000225
