Distance,Resistance,Voltage,Current,Power
0.2,9999,0.462,4.62046E-05,2.13465E-05
0.2,7999,0.461,5.76322E-05,2.65684E-05
0.2,3999,0.46,0.000115029,5.29132E-05
0.2,2999,0.459,0.000153051,7.02504E-05
0.2,1999,0.457,0.000228614,0.000104477
0.2,999,0.452,0.000452452,0.000204509
0.2,899,0.451,0.000501669,0.000226253
0.2,799,0.449,0.000561952,0.000252317
0.2,699,0.447,0.000639485,0.00028585
0.2,599,0.444,0.000741235,0.000329109
0.2,499,0.44,0.000881764,0.000387976
0.2,399,0.434,0.001087719,0.00047207
0.2,299,0.422,0.001411371,0.000595599
0.2,199,0.394,0.001979899,0.00078008
0.2,99,0.295,0.002979798,0.00087904
0.2,89,0.273,0.003067416,0.000837404
0.2,79,0.251,0.003177215,0.000797481
0.2,69,0.224,0.003246377,0.000727188
0.2,59,0.196,0.003322034,0.000651119
0.2,49,0.166,0.003387755,0.000562367
0.2,39,0.133,0.003410256,0.000453564
0.2,29,0.1,0.003448276,0.000344828
0.2,19,0.067,0.003526316,0.000236263
0.2,9,0.032,0.003555556,0.000113778
0.2,8,0.029,0.003625,0.000105125
0.2,7,0.025,0.003571429,8.92857E-05
0.2,6,0.022,0.003666667,8.06667E-05
0.2,5,0.018,0.0036,0.0000648
0.2,4,0.015,0.00375,0.00005625
0.2,3,0.011,0.003666667,4.03333E-05
0.2,2,0.008,0.004,0.000032
0.2,1,0.005,0.005,0.000025
