Temperature,Resistance,Voltage,Current,Power
25,9999,0.522,5.22052E-05,2.72511E-05
25,3999,0.521,0.000130283,6.78772E-05
25,1999,0.52,0.00026013,0.000135268
25,999,0.519,0.00051952,0.000269631
25,899,0.518,0.000576196,0.000298469
25,699,0.517,0.000739628,0.000382388
25,499,0.516,0.001034068,0.000533579
25,399,0.514,0.001288221,0.000662145
25,299,0.512,0.001712375,0.000876736
25,199,0.507,0.002547739,0.001291704
25,99,0.487,0.004919192,0.002395646
25,89,0.482,0.00541573,0.002610382
25,79,0.475,0.006012658,0.002856013
25,69,0.465,0.00673913,0.003133696
25,59,0.45,0.007627119,0.003432203
25,49,0.427,0.008714286,0.003721
25,39,0.383,0.009820513,0.003761256
25,29,0.312,0.010758621,0.00335669
25,19,0.214,0.011263158,0.002410316
25,9,0.105,0.011666667,0.001225
25,8,0.094,0.01175,0.0011045
25,7,0.082,0.011714286,0.000960571
25,6,0.071,0.011833333,0.000840167
25,5,0.06,0.012,0.00072
25,4,0.048,0.012,0.000576
25,3,0.037,0.012333333,0.000456333
25,2,0.026,0.013,0.000338
25,1,0.015,0.015,0.000225
